Sat Oct 18 20:24:17 2025    artifacts/perf/profile_cart.prof

         2015805 function calls in 0.323 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1000200    0.162    0.000    0.229    0.000 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:58(<genexpr>)
      200    0.086    0.000    0.316    0.002 {built-in method builtins.sum}
  1000000    0.068    0.000    0.068    0.000 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:14(get_total_price)
        1    0.004    0.004    0.323    0.323 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\scripts\profile_cart.py:5(main)
     5000    0.002    0.000    0.002    0.000 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:41(add_book)
     5000    0.000    0.000    0.000    0.000 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:2(__init__)
     5000    0.000    0.000    0.000    0.000 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:10(__init__)
      200    0.000    0.000    0.316    0.002 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:57(get_total_price)
        1    0.000    0.000    0.323    0.323 <string>:1(<module>)
      200    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.323    0.323 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\pedro\Documents\Cyber Security MSc\CSO7006 Software Testing\Final Assessment\Online-bookstore\online-bookstore-flask\models.py:38(__init__)


